metric,value
raw_rows_combined,235192
cleaned_rows,235192
stock_files_found,50
combined_stock_files_found,1
metadata_available,True
rows_with_metadata,235192
rows_without_metadata,0
exact_duplicates_removed,0
rows_with_price_missing_before_fill,0
price_missing_cells_filled,0
missing_price_flag_rows,0
missing_volume_flag_rows,114848
invalid_ohlc_flag_rows,0
outlier_return_flag_rows,12680
turnover_scale_factor,100000.0
turnover_ratio_median,100000.0
min_date,2000-01-03
max_date,2021-04-30
distinct_symbols,65
distinct_source_symbols,49
missing_before::trades,114848
missing_before::deliverable_percent,16077
missing_before::deliverable_volume,16077
missing_before::date,0
missing_before::turnover,0
missing_before::isin_code,0
missing_before::industry,0
missing_before::company_name,0
missing_before::source_symbol,0
missing_before::source_file,0
missing_before::volume,0
missing_before::symbol,0
missing_before::vwap,0
missing_before::close,0
missing_before::last,0
missing_before::low,0
missing_before::high,0
missing_before::open,0
missing_before::prev_close,0
missing_before::series,0
missing_before::metadata_join_key,0
missing_after::trades,114848
missing_after::deliverable_percent,16077
missing_after::deliverable_volume,16077
missing_after::symbol,0
missing_after::missing_volume_flag,0
missing_after::missing_price_flag,0
missing_after::metadata_join_key,0
missing_after::isin_code,0
missing_after::industry,0
missing_after::company_name,0
missing_after::source_symbol,0
missing_after::source_file,0
missing_after::date,0
missing_after::turnover,0
missing_after::volume,0
missing_after::vwap,0
missing_after::close,0
missing_after::last,0
missing_after::low,0
missing_after::high,0
missing_after::open,0
missing_after::prev_close,0
missing_after::series,0
missing_after::invalid_ohlc_flag,0
